gym_name,capacity,scrape_timestamp
ActiveSG Gym @ Ang Mo Kio Community Centre,,2026-01-22 22:49:37.446597
ActiveSG Gym @ Enabling Village,,2026-01-22 22:49:37.446597
ActiveSG Gym @ Fernvale Square,,2026-01-22 22:49:37.446597
ActiveSG Gym @ Serangoon Central,,2026-01-22 22:49:37.446597
ActiveSG Gym @ Toa Payoh,,2026-01-22 22:49:37.446597
ActiveSG Gym @ Toa Payoh West Community Centre,,2026-01-22 22:49:37.446597
ActiveSG Hockey Village @ Boon Lay Gym,,2026-01-22 22:49:37.446597
ActiveSG Sport Park @ Teck Ghee ActiveSG Gym,,2026-01-22 22:49:37.446597
Bishan ActiveSG Gym,,2026-01-22 22:49:37.446597
Bukit Batok ActiveSG Gym,,2026-01-22 22:49:37.446597
Bukit Canberra ActiveSG Gym,,2026-01-22 22:49:37.446597
Bukit Gombak ActiveSG Gym,,2026-01-22 22:49:37.446597
Choa Chu Kang ActiveSG Gym,,2026-01-22 22:49:37.446597
Clementi ActiveSG Gym,,2026-01-22 22:49:37.446597
Delta ActiveSG Gym,,2026-01-22 22:49:37.446597
Heartbeat @ Bedok ActiveSG Gym,,2026-01-22 22:49:37.446597
Jalan Besar ActiveSG Gym,,2026-01-22 22:49:37.446597
Jurong East ActiveSG Gym,,2026-01-22 22:49:37.446597
Jurong Lake Gardens ActiveSG Gym,,2026-01-22 22:49:37.446597
Jurong West ActiveSG Gym,,2026-01-22 22:49:37.446597
Katong ActiveSG Gym,,2026-01-22 22:49:37.446597
Pasir Ris ActiveSG Gym,,2026-01-22 22:49:37.446597
Sengkang ActiveSG Gym,,2026-01-22 22:49:37.446597
Senja-Cashew ActiveSG Gym,,2026-01-22 22:49:37.446597
Tampines ActiveSG Gym,,2026-01-22 22:49:37.446597
Woodlands ActiveSG Gym,,2026-01-22 22:49:37.446597
Yio Chu Kang ActiveSG Gym,,2026-01-22 22:49:37.446597
Yishun ActiveSG Gym,,2026-01-22 22:49:37.446597
